	ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount	RoleType	RoleName
698	19065																		biological role	metabolite
699	70971																		biological role	metabolite
700	70972																		biological role	metabolite
701	25351																		biological role	metabolite
702	70973																		biological role	metabolite
703	70976																		biological role	metabolite
704	16259																		biological role	metabolite
705	70864																		biological role	metabolite
706	17786																		biological role	metabolite
707	70865																		biological role	metabolite
708	16552																		biological role	metabolite
709	61509																		biological role	metabolite
710	70989																		biological role	metabolite
711	70997																		biological role	metabolite
712	70996																		biological role	metabolite
713	71003																		biological role	metabolite
714	71002																		biological role	metabolite
715	37011																		biological role	metabolite
716	71029																		biological role	metabolite
717	71032																		biological role	metabolite
718	71047																		biological role	metabolite
719	71049																		biological role	metabolite
720	17889																		biological role	metabolite
721	71057																		biological role	metabolite
722	27758																		biological role	metabolite
723	71157																		biological role	metabolite
724	71158																		biological role	metabolite
725	71159																		biological role	metabolite
726	71160																		biological role	metabolite
727	71161																		biological role	metabolite
728	71162																		biological role	metabolite
729	71166																		biological role	metabolite
730	71167																		biological role	metabolite
731	71169																		biological role	metabolite
732	71172																		biological role	metabolite
733	71176																		biological role	metabolite
734	71180																		biological role	metabolite
735	6417																		biological role	metabolite
736	71347																		biological role	metabolite
737	71529																		biological role	metabolite
738	71547																		biological role	metabolite
739	71575																		biological role	metabolite
740	71593																		biological role	metabolite
741	71596																		biological role	metabolite
742	71625																		biological role	metabolite
743	71599																		biological role	metabolite
744	71609																		biological role	metabolite
745	71608																		biological role	metabolite
746	71634																		biological role	metabolite
747	33992																		biological role	metabolite
748	71637																		biological role	metabolite
749	71824																		biological role	metabolite
750	71961																		biological role	metabolite
751	71962																		biological role	metabolite
752	2368																		biological role	metabolite
753	32330																		biological role	metabolite
754	59015																		biological role	metabolite
755	31227																		biological role	metabolite
756	18200																		biological role	metabolite
757	17379																		biological role	metabolite
758	31763																		biological role	metabolite
759	18128																		biological role	metabolite
760	17133																		biological role	metabolite
761	72593																		biological role	metabolite
762	72595																		biological role	metabolite
763	72605																		biological role	metabolite
764	72610																		biological role	metabolite
765	72613																		biological role	metabolite
766	72615																		biological role	metabolite
767	72624																		biological role	metabolite
